Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
unpkg.com,Functional Cookies,Performance Cookies [Requires consent],UNPKG,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,unpkg is a content delivery network for stuff that is published to npm.,
unpkg.com,Functional Cookies,Performance Cookies [Requires consent],UNPKG,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,unpkg is a content delivery network for stuff that is published to npm.,
vtex.vtexassets.com,Functional Cookies,Performance Cookies [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
www.airdisinfectioncalculator.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.airdisinfectioncalculator.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
www.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
www.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
www.clarity.ms,Functional Cookies,Performance Cookies [Requires consent],Microsoft,HTTP Cookie,CLID,The cookie is set by embedded Microsoft Clarity scripts. The purpose of this cookie is for heatmap and session recording.,TrustArc ,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",364
www.conversiontool.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.conversiontool.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.docs.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.docs.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.horticulture-partnertool.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.horticulture-partnertool.lighting.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
